City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
355,naduvattam,68,IN,1587600377,57,11.48,76.57,56.12,1.79
356,jorhat,82,IN,1587600377,86,26.75,94.22,65.59,7.58
357,nizhniy tsasuchey,0,RU,1587600242,42,50.52,115.13,41.94,10.83
358,saint-francois,40,FR,1587600247,81,46.42,3.91,51.8,2.24
359,puerto escondido,5,MX,1587600377,79,15.85,-97.07,86.0,11.41
360,geraldton,93,AU,1587600255,88,-28.77,114.6,62.6,6.93
361,kedzierzyn-kozle,5,PL,1587600377,60,50.35,18.23,44.01,1.01
362,panjab,93,AF,1587600377,27,34.39,67.02,33.66,3.27
363,biu,42,NG,1587600377,13,10.61,12.19,79.61,1.97
364,hambantota,100,LK,1587600364,79,6.12,81.12,80.26,4.07
365,eureka,90,US,1587599954,100,40.8,-124.16,60.8,4.7
366,mount gambier,100,AU,1587600241,81,-37.83,140.77,53.6,14.99
367,kochubey,99,RU,1587600378,62,44.39,46.58,49.86,14.2
368,palestine,40,PS,1587600378,88,31.92,35.2,66.99,6.93
369,kirakira,91,SB,1587600378,69,-10.45,161.92,86.04,6.96
370,flinders,12,AU,1587600057,55,-34.58,150.86,68.0,10.29
371,skibbereen,100,IE,1587600378,76,51.55,-9.27,51.8,8.05
372,yar-sale,100,RU,1587600378,98,66.83,70.83,36.25,21.72
373,murgab,20,TM,1587600242,68,37.5,61.97,68.0,4.7
374,huercal-overa,74,ES,1587600378,87,37.39,-1.95,54.0,1.01
375,ruidoso,1,US,1587600378,15,33.33,-105.67,64.4,26.4
376,denpasar,20,ID,1587600378,100,-8.65,115.22,82.4,6.93
377,alofi,75,NU,1587600264,88,-19.06,-169.92,82.4,5.82
378,baturaja,99,ID,1587600378,91,-4.13,104.17,75.94,1.81
379,mitsamiouli,26,KM,1587600378,69,-11.38,43.28,82.49,4.18
380,vidisha,37,IN,1587600378,19,23.53,77.82,79.36,5.59
381,port macquarie,12,AU,1587600378,68,-31.43,152.92,71.01,1.01
382,salinopolis,70,BR,1587600227,83,-0.61,-47.36,79.57,7.18
383,dafeng,100,CN,1587600378,85,23.45,108.59,59.09,7.0
384,zharkent,11,KZ,1587600378,25,44.16,80.0,60.91,7.7
385,college,20,US,1587600264,38,64.86,-147.8,46.99,5.82
